wallet_address,total_reward,solved_predictions
0xE575389798472440d43A18DF7504d4139DE8D6fC,0.1000,1
0x8c8618453ED96D0c58c489671637A568780DA6A9,0.1200,2
0x9549D1cd106FacA34080358F216761286333d9E0,0.1100,2
0x86AE7EFd176C485b70Cc8B5fFA7B8F11e8bf7479,5.1000,1
0xB1Cb732f2A8108AC0CFB57b1faacB90fBD85E88A,0.5100,2
0x4Bc8A40621EE83bd47DFb4ADB8Bc1bb85A6b42f1,1.1400,2
0xc6D93Fe45B30F3BF2C4c645f919a146eC2c44f75,0.6800,2
0x2E5638A84Daa2bF295fA5F476019295Da20591d5,0.1600,2
0xF620459eA55dFaAa38689Fed17443da6b54EC296,1.6200,2
0xAaf82D3Af09916A4b024eFFA2e9Fb64750c2f93C,6.5000,1
0x36da919053c78112aED229256496a06845fc0725,1.2300,3
0x101dF0ae91C566DFbdA67a894710073873C0a0C0,0.1900,1
0xDbA723904bd7080824B69Af336A3D8C564892132,0.3300,2
0x26B9D63c7CBf0b33D6123f860EB5b8718c35e534,0.3500,1
0x9d81B3e9160b94C56737A128C376286d565cBFd3,0.0400,1
0xa2c5393CF474850766F37d9267b8991DC27c1AF1,0.1300,1
0x2a2641CA5A6ECd3dE54BDcA342689EfdA9f0A4c0,1.4700,2
0xA08932259f3fFE0f12B58Caf3B4124e095c7635D,1.1100,1
0x258f9a2BFbe0F408EBE6Eb3f002B6b77c58bA538,0.3300,1
0x8213336c0aBd451D9b3019b4b53A9f4dC618DfC3,1.9800,8
0x54fE8F873A7E3069f80363C5F54D119589ccD969,0.6900,1
0x651817b6B7464B61C6c6Ef87dA2BC84EE0E64377,1.6700,1
0x164Ef87a940E30C4B72df3b4ea317B5BfE080F93,0.6800,2
0xc54b97800454ca7FC81a3716a7DB6962A40f4aEa,1.8100,3
0xd63D5d0Bf1eEd8dcB14A094274912FB37B445a59,0.0200,1
0x952c23f8F067A5e7e165ff0E42491f51D87DBc95,4.6700,5
